Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Cores (product.metafields.custom.cores),Cor deste Produto (product.metafields.custom.cor_deste_produto),Cor (product.metafields.shopify.color-pattern),Tecido (product.metafields.shopify.fabric),Tamanho (product.metafields.shopify.size),Produtos complementares (product.metafields.shopify--discovery--product_recommendation.complementary_products),Produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configurações de produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
camiseta-premium-b9-basic-branco-b90617,CAMISETA PREMIUM B9 BASIC - BRANCO B90617,"<p data-mce-fragment=""1""><span><i class=""fas fa-check-circle"" style=""color: #00bd22;""></i>  Se você busca se destacar com atitude e conforto, a camiseta <strong>Black Nine Streetwear</strong> é o item que não pode faltar no seu guarda-roupa. Feita com uma malha encorpada, resistente e durável, essa camiseta mantém seu estilo impecável mesmo com o uso frequente e as lavagens.</span><br><br><span><i class=""fas fa-tshirt"" style=""color: #00bd22;""></i>  Com sua malha <strong>100% algodão exclusiva</strong>, <strong>macia e confortável</strong>, a camiseta B9 apresenta um corte largo que proporciona liberdade de movimento, perfeito para quem valoriza roupas descontraídas.</span><br><br><span><i class=""fas fa-star"" style=""color: #00bd22;""></i>  O tecido premium e o acabamento <strong>anti-pilling</strong> asseguram que a camiseta permaneça impecável, sem bolinhas ou manchas, mesmo após várias lavagens.</span><br><br><span><i class=""fa-solid fa-road fa-fw"" style=""color: #00bd22;""></i> Inspirada pelas tendências <strong>streetwear mais autênticas</strong>, essa camiseta combina elementos do <strong>hip-hop, skate ,rap, Anime, Basquete e muito mais!</strong> tendo no seu DNA a rua, trazendo originalidade e personalidade ao seu visual. Reconhecida pela qualidade e criatividade das estampas, a <strong>Black Nine</strong> oferece opções únicas para quem busca expressar sua individualidade através da moda urbana.</span><br><br><span><i class=""fas fa-people-arrows"" style=""color: #00bd22;""></i>  Nossas camisetas vão além do convencional; elas representam a fusão entre moda e cultura de rua, refletindo a estética urbana e o estilo autêntico das ruas. Com a <strong>Black Nine Streetwear</strong>, você pode criar looks cheios de atitude e personalidade, mostrando ao mundo o seu <strong>amor pela moda urbana</strong>.</span></p>",Black Nine,Vestuário e acessórios > Roupas > Camisetas e tops,"","branca, camisetas",true,Tamanho,P,,,,,,,,VJ-CAM-P-B90603,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/FRENTE_41b26f51-d87a-46e5-a5d4-7fdedeab8c3f.png?v=1718466729,1,"",false,,,,,,,,,,,,,,,Branco,,,,,,,,g,,,true,,,true,,,active
camiseta-premium-b9-basic-branco-b90617,,,,,,,,,M,,,,,,,,VJ-CAM-M-B90603,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/FRENTE_ZOOM_13dcdd83-03c1-4943-8088-41dcacf744b8.png?v=1718466756,2,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-b9-basic-branco-b90617,,,,,,,,,G,,,,,,,,VJ-CAM-G-B90603,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/E.BARRA_ZOOM_e003eab2-66bf-4534-b88d-8d9e743f1eb1.png?v=1718466756,3,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-b9-basic-branco-b90617,,,,,,,,,GG,,,,,,,,VJ-CAM-GG-B90603,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/COSTAS_2bd88eec-4f02-4b28-8bc3-dfffd2c0f13a.png?v=1718466756,4,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-b9-basic-branco-b90617,,,,,,,,,G2,,,,,,,,VJ-CAM-G2-B90603,330.0,shopify,200,deny,manual,99.90,139.90,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-b9-basic-branco-b90617,,,,,,,,,G3,,,,,,,,VJ-CAM-G3-B90603,330.0,shopify,200,deny,manual,129.90,159.90,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-b9-basic-branco-b90617,,,,,,,,,G4,,,,,,,,VJ-CAM-G4-B90603,330.0,shopify,200,deny,manual,149.90,189.90,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-bn-street-basic-branco-b90622,CAMISETA PREMIUM BN STREET BASIC - BRANCO B90622,"<p data-mce-fragment=""1""><span><i class=""fas fa-check-circle"" style=""color: #00bd22;""></i>  Se você busca se destacar com atitude e conforto, a camiseta <strong>Black Nine Streetwear</strong> é o item que não pode faltar no seu guarda-roupa. Feita com uma malha encorpada, resistente e durável, essa camiseta mantém seu estilo impecável mesmo com o uso frequente e as lavagens.</span><br><br><span><i class=""fas fa-tshirt"" style=""color: #00bd22;""></i>  Com sua malha <strong>100% algodão exclusiva</strong>, <strong>macia e confortável</strong>, a camiseta B9 apresenta um corte largo que proporciona liberdade de movimento, perfeito para quem valoriza roupas descontraídas.</span><br><br><span><i class=""fas fa-star"" style=""color: #00bd22;""></i>  O tecido premium e o acabamento <strong>anti-pilling</strong> asseguram que a camiseta permaneça impecável, sem bolinhas ou manchas, mesmo após várias lavagens.</span><br><br><span><i class=""fa-solid fa-road fa-fw"" style=""color: #00bd22;""></i> Inspirada pelas tendências <strong>streetwear mais autênticas</strong>, essa camiseta combina elementos do <strong>hip-hop, skate ,rap, Anime, Basquete e muito mais!</strong> tendo no seu DNA a rua, trazendo originalidade e personalidade ao seu visual. Reconhecida pela qualidade e criatividade das estampas, a <strong>Black Nine</strong> oferece opções únicas para quem busca expressar sua individualidade através da moda urbana.</span><br><br><span><i class=""fas fa-people-arrows"" style=""color: #00bd22;""></i>  Nossas camisetas vão além do convencional; elas representam a fusão entre moda e cultura de rua, refletindo a estética urbana e o estilo autêntico das ruas. Com a <strong>Black Nine Streetwear</strong>, você pode criar looks cheios de atitude e personalidade, mostrando ao mundo o seu <strong>amor pela moda urbana</strong>.</span></p>",Black Nine,Vestuário e acessórios > Roupas > Camisetas e tops,"","branca, camisetas",true,Tamanho,P,,,,,,,,VJ-CAM-P-B90622,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/FRENTE_5094c5f6-0c57-4c34-aa66-79a39a55c0a6.png?v=1718466880,1,"",false,,,,,,,,,,,,,,,Branco,,,,,,,,g,,,true,,,true,,,active
camiseta-premium-bn-street-basic-branco-b90622,,,,,,,,,M,,,,,,,,VJ-CAM-M-B90622,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/FRENTE_ZOOM_8dc397b8-1191-4532-bd70-05424f27b6f9.png?v=1718466933,2,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-bn-street-basic-branco-b90622,,,,,,,,,G,,,,,,,,VJ-CAM-G-B90622,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/COSTAS_55f06bad-cd45-40f8-a9b3-4107907008a0.png?v=1718466933,3,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
